Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6EMynpZ10GVcwVqiLZj6Ye,"2DaxqgrOhkeH0fpeiQq2f4","Champagne Supernova","(What's The Story) Morning Glory?","Oasis",1995-10-02,450506,60,spotify:user:ueqvdu7e6iud89b2l5i1gzt66,2022-11-27T08:39:54Z,"beatlesque,britpop,madchester,permanent wave,pop rock,rock",0.303,0.853,2,-2.26,1,0.0366,0.223,0.00159,0.361,0.119,150.381,4
12dU3vAh6AFoJkisorfoUl,"2DaxqgrOhkeH0fpeiQq2f4","Don't Look Back In Anger - Remastered","(What's The Story) Morning Glory? (Deluxe Remastered Edition)","Oasis",1995,289560,71,spotify:user:ueqvdu7e6iud89b2l5i1gzt66,2022-11-27T08:39:54Z,"beatlesque,britpop,madchester,permanent wave,pop rock,rock",0.328,0.936,0,-3.254,1,0.0628,0.0665,0.00000261,0.165,0.31,162.97,4
0fea68AdmYNygeTGI4RC18,"1vyhD5VmyZ7KMfW5gqLgo5,4q3ewBCX7sLwd24euuV69X","LA CANCIÓN","OASIS","J Balvin,Bad Bunny",2019-06-28,242573,88,spotify:user:ueqvdu7e6iud89b2l5i1gzt66,2022-11-27T08:39:54Z,"reggaeton,reggaeton colombiano,trap latino",0.754,0.646,7,-5.795,1,0.317,0.152,0.0000185,0.108,0.429,176.089,4
4gzsuuZypVbxs0Af1LSZyB,"0GM7qgcRCORpGnfcN2tCiB,4q3ewBCX7sLwd24euuV69X,2QWIScpFDNxmS6ZEMIUvgm","Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)","Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)","Tainy,Bad Bunny,Julieta Venegas",2021-10-05,207301,85,spotify:user:ueqvdu7e6iud89b2l5i1gzt66,2022-11-27T08:39:54Z,"latin hip hop,latin pop,pop reggaeton,reggaeton,reggaeton flow,trap latino,latin alternative,latin rock,rock en espanol",0.639,0.703,4,-6.33,0,0.0794,0.0889,0.00000178,0.0865,0.138,169.888,4
47Bg6IrMed1GPbxRgwH2aC,"7pbDxGE6nQSZVfiFdq9lOL","Best Friend","Best Friend","Rex Orange County",2017-01-25,262231,63,spotify:user:ueqvdu7e6iud89b2l5i1gzt66,2022-11-27T08:39:54Z,"bedroom pop,pop",0.575,0.714,6,-5.247,1,0.0596,0.395,0,0.115,0.32,144.982,4
5GUYJTQap5F3RDQiCOJhrS,"2h93pZq0e7k5yf4dywlkpM","Self Control","Blonde","Frank Ocean",2016-08-20,249667,75,spotify:user:ueqvdu7e6iud89b2l5i1gzt66,2022-11-27T08:39:54Z,"hip hop,lgbtq+ hip hop,neo soul,pop",0.581,0.21,8,-10.426,1,0.0321,0.768,0,0.369,0.452,80.099,4
2LBqCSwhJGcFQeTHMVGwy3,"1Xyo4u8uXC1ZmMpatF05PJ","Die For You","Starboy","The Weeknd",2016-11-24,260253,87,spotify:user:ueqvdu7e6iud89b2l5i1gzt66,2022-11-27T08:39:54Z,"canadian contemporary r&b,canadian pop,pop",0.586,0.525,1,-7.163,0,0.0615,0.111,0,0.134,0.508,133.629,4
4QhWbupniDd44EDtnh2bFJ,"2h93pZq0e7k5yf4dywlkpM","Pyramids","channel ORANGE","Frank Ocean",2012-07-10,592920,72,spotify:user:ueqvdu7e6iud89b2l5i1gzt66,2022-11-27T08:39:54Z,"hip hop,lgbtq+ hip hop,neo soul,pop",0.4,0.65,5,-6.104,0,0.0466,0.0118,0.0000762,0.791,0.15,107.989,4
6GzApXoBQiiAjak3tOQfV3,"5Rl15oVamLq7FbSb0NNBNy,0ZED1XzwlLHW4ZaG4lOT6m","Lie To Me (feat. Julia Michaels)","Lie To Me (feat. Julia Michaels)","5 Seconds of Summer,Julia Michaels",2018-12-21,149877,69,spotify:user:ueqvdu7e6iud89b2l5i1gzt66,2022-11-27T08:39:54Z,"boy band,dance pop,pop,post-teen pop,alt z,electropop",0.611,0.52,0,-5.445,1,0.0346,0.0132,0,0.105,0.771,159.927,4
5WNYg3usc6H8N3MBEp4zVk,"4V8LLVI7PbaPR0K2TGSxFF,7pbDxGE6nQSZVfiFdq9lOL,1mSJCvDX0W7Dn7S9C6vmvI","Boredom (feat. Rex Orange County & Anna of the North)","Flower Boy","Tyler, The Creator,Rex Orange County,Anna of the North",2017-07-21,320720,70,spotify:user:ueqvdu7e6iud89b2l5i1gzt66,2022-11-27T08:39:54Z,"hip hop,rap,bedroom pop,pop,electropop,indie poptimism,norwegian pop,vapor pop",0.559,0.578,8,-9.54,1,0.151,0.79,0.000522,0.324,0.239,79.938,4
